ts,frame_idx,ok,bbox,offx,offy
1764761004.892091,903,1,None,,
1764761004.912176,904,1,None,,
1764761004.932183,905,1,None,,
1764761004.952078,906,1,None,,
1764761004.972099,907,1,None,,
1764761004.992079,908,1,None,,
1764761005.012129,909,1,None,,
1764761005.032155,910,1,None,,
1764761005.080753,911,1,None,,
1764761005.092980,912,1,None,,
1764761005.111744,913,1,None,,
1764761005.131819,914,1,None,,
1764761005.151767,915,1,None,,
1764761005.171766,916,1,None,,
1764761005.191839,917,1,None,,
1764761005.211900,918,1,None,,
1764761005.231910,919,1,None,,
1764761005.251895,920,1,None,,
1764761005.323220,921,1,None,,
1764761005.332000,922,1,None,,
1764761005.352046,923,1,None,,
1764761005.372073,924,1,None,,
1764761005.392093,925,1,None,,
1764761005.412078,926,1,None,,
1764761005.432060,927,1,None,,
1764761005.452021,928,1,None,,
1764761005.472147,929,1,None,,
1764761005.492124,930,1,None,,
1764761005.535517,931,1,None,,
1764761005.551866,932,1,None,,
1764761005.571833,933,1,None,,
1764761005.591861,934,1,None,,
1764761005.611855,935,1,None,,
1764761005.631795,936,1,None,,
1764761005.651816,937,1,None,,
1764761005.671900,938,1,None,,
1764761005.691772,939,1,None,,
1764761005.711827,940,1,None,,
1764761005.755495,941,1,None,,
1764761005.772191,942,1,None,,
1764761005.792149,943,1,None,,
1764761005.812061,944,1,None,,
1764761005.832072,945,1,None,,
1764761005.852082,946,1,None,,
1764761005.872028,947,1,None,,
1764761005.892061,948,1,None,,
1764761005.912056,949,1,None,,
1764761005.932048,950,1,None,,
1764761005.977953,951,1,None,,
1764761005.991899,952,1,None,,
1764761006.011830,953,1,None,,
1764761006.031874,954,1,None,,
1764761006.051853,955,1,None,,
1764761006.071875,956,1,None,,
1764761006.091838,957,1,None,,
1764761006.111839,958,1,None,,
1764761006.131840,959,1,None,,
1764761006.151776,960,1,None,,
1764761006.196414,961,1,None,,
1764761006.211846,962,1,None,,
1764761006.231835,963,1,None,,
1764761006.251911,964,1,None,,
1764761006.271900,965,1,None,,
1764761006.291852,966,1,None,,
1764761006.311855,967,1,None,,
1764761006.331882,968,1,None,,
1764761006.351794,969,1,None,,
1764761006.371832,970,1,None,,
1764761006.450115,971,1,None,,
1764761006.451876,972,1,None,,
1764761006.472117,973,1,None,,
1764761006.492148,974,1,None,,
1764761006.512146,975,1,None,,
1764761006.532097,976,1,None,,
1764761006.552082,977,1,None,,
1764761006.572085,978,1,None,,
1764761006.592078,979,1,None,,
1764761006.612072,980,1,None,,
1764761006.696170,981,1,None,,
1764761006.712059,982,1,None,,
1764761006.732016,983,1,None,,
1764761006.752041,984,1,None,,
1764761006.772006,985,1,None,,
1764761006.792031,986,1,None,,
1764761006.812023,987,1,None,,
1764761006.832082,988,1,None,,
1764761006.852116,989,1,None,,
1764761006.872120,990,1,None,,
1764761006.956046,991,1,None,,
1764761006.972160,992,1,None,,
1764761006.992054,993,1,None,,
1764761007.012079,994,1,None,,
1764761007.032071,995,1,None,,
1764761007.052042,996,1,None,,
1764761007.072051,997,1,None,,
1764761007.092024,998,1,None,,
1764761007.112131,999,1,None,,
1764761007.132134,1000,1,None,,
1764761007.177430,1001,1,None,,
1764761007.191840,1002,1,None,,
1764761007.211843,1003,1,None,,
1764761007.231832,1004,1,None,,
1764761007.251787,1005,1,None,,
1764761007.271955,1006,1,None,,
1764761007.291842,1007,1,None,,
